system:index,classification,fireBinary,.geo
160_0,0.38559222,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.74098196089999,20.08568680991462]}"
161_0,0.38555965,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[97.74672203015464,17.881221102685313]}"
162_0,0.19401346,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.29075091478113,19.66797020279904]}"
163_0,0.37036917,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.16695849434761,18.271988251277303]}"
164_0,0.41316485,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.80835560720895,19.42812002193913]}"
165_0,0.080648296,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.04047112806172,18.97267417289053]}"
166_0,0.71439815,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.94327798860185,17.37996117414662]}"
167_0,0.09064238,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.19355777532125,18.800197638339583]}"
168_0,0.31007558,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.60605957950708,18.61963626623156]}"
169_0,0.48548943,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.14252889290141,19.51974818091932]}"
170_0,0.9287119,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[97.96770759004805,19.042742765051855]}"
171_0,0.42620352,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.75732672478911,18.902605580729208]}"
172_0,0.2525701,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.39063900009337,19.6706651486514]}"
173_0,0.87935436,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.22876716017689,18.8379268802726]}"
174_0,0.17869383,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.64665885606743,18.11298644598815]}"
175_0,0.12192792,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.57659026390611,18.40673554389523]}"
176_0,0.17389496,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.42028340446932,18.79211280078251]}"
177_0,0.20451169,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.8917238398571,19.38769583415375]}"
178_0,0.06385014,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.95136282615893,15.40995575607251]}"
179_0,0.7236072,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[97.65778881702681,18.215394388377774]}"
180_0,0.47643277,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.81931047939335,15.542008102838079]}"
181_0,0.6563493,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.62492420047359,18.115681391840507]}"
182_0,0.13605087,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.59293502779524,19.336491862958937]}"
183_0,0.5431784,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.86225452425612,17.972849261665502]}"
184_0,0.16931832,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.75715163601413,19.624851069161302]}"
185_0,0.39746842,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.4660974839594,19.77846298274574]}"
186_0,0.19879442,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.11036463144808,17.724914243248516]}"
187_0,0.21890162,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.58754513609051,17.951289694846636]}"
188_0,0.57552004,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.5791101209835,18.549567674070236]}"
189_0,0.51551646,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.95370759446133,18.50375359458014]}"
190_0,0.46654266,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.46340253810705,17.765338431033893]}"
