system:index,classification,fireBinary,year,.geo
0_0000000000000000009b,0.5561475681589351,0,2016.0,"{""type"":""Point"",""coordinates"":[98.07042746257021,19.634028376065473]}"
0_00000000000000000035,0.7176204466115089,0,2016.0,"{""type"":""Point"",""coordinates"":[99.7682435659729,18.46711730318711]}"
0_00000000000000000189,0.46914333037238776,1,2016.0,"{""type"":""Point"",""coordinates"":[98.1458843705966,18.046704337666124]}"
0_0000000000000000006e,0.28552960140140365,0,2016.0,"{""type"":""Point"",""coordinates"":[99.73859946216957,20.26464336524589]}"
0_000000000000000001ce,0.5807207119039193,1,2016.0,"{""type"":""Point"",""coordinates"":[99.56612143342228,19.267517024078543]}"
0_00000000000000000080,0.3825025267467128,0,2016.0,"{""type"":""Point"",""coordinates"":[98.5824660365374,17.068439993954847]}"
0_00000000000000000081,0.6470478853145847,0,2016.0,"{""type"":""Point"",""coordinates"":[100.70608615863468,18.898307915954273]}"
0_000000000000000000df,0.126830774330935,0,2016.0,"{""type"":""Point"",""coordinates"":[99.40442551102224,19.183971306741178]}"
0_000000000000000000e7,0.23648008851399388,0,2016.0,"{""type"":""Point"",""coordinates"":[98.1378000203867,18.135636649076048]}"
0_00000000000000000125,0.3788753582696049,0,2016.0,"{""type"":""Point"",""coordinates"":[98.93819974127815,15.311335682945552]}"
0_0000000000000000019a,0.5962299691607895,1,2016.0,"{""type"":""Point"",""coordinates"":[101.02947800343478,19.189362359914792]}"
0_00000000000000000235,0.7351303196927741,1,2016.0,"{""type"":""Point"",""coordinates"":[100.11319516436639,18.313505730996958]}"
0_000000000000000000b6,0.35577009404759186,0,2016.0,"{""type"":""Point"",""coordinates"":[97.81440817558662,17.720614736728685]}"
0_000000000000000000fb,0.3196615486269827,0,2016.0,"{""type"":""Point"",""coordinates"":[99.75207486555308,18.903698969127895]}"
0_0000000000000000004d,0.18252418554703187,0,2016.0,"{""type"":""Point"",""coordinates"":[99.0756426130485,19.251343864557693]}"
0_0000000000000000019f,0.7125790522133656,1,2016.0,"{""type"":""Point"",""coordinates"":[99.96497464534987,18.48328600360691]}"
0_00000000000000000162,0.8721809321509812,1,2016.0,"{""type"":""Point"",""coordinates"":[99.0244387556518,18.973764823980687]}"
0_0000000000000000018e,0.7987685557790353,1,2016.0,"{""type"":""Point"",""coordinates"":[98.8304009733111,18.720443293134426]}"
0_000000000000000001cb,0.5857976853008732,1,2016.0,"{""type"":""Point"",""coordinates"":[100.15900796858949,19.02496868137741]}"
0_000000000000000001b1,0.683969945687755,1,2016.0,"{""type"":""Point"",""coordinates"":[98.83848532352098,17.534665763698943]}"
0_0000000000000000000b,0.4342834133060973,0,2016.0,"{""type"":""Point"",""coordinates"":[100.01617850274658,19.741827144032523]}"
0_00000000000000000113,0.763857613302592,0,2016.0,"{""type"":""Point"",""coordinates"":[99.73320840899595,19.887354366012783]}"
0_00000000000000000209,0.7093100532824804,1,2016.0,"{""type"":""Point"",""coordinates"":[98.9274176349309,19.208224357370874]}"
0_0000000000000000020f,0.9122986088267331,1,2016.0,"{""type"":""Point"",""coordinates"":[100.24524698296314,18.661150626426757]}"
0_000000000000000000af,0.10833927272744841,0,2016.0,"{""type"":""Point"",""coordinates"":[98.48544937491756,18.599169121783863]}"
0_000000000000000000b3,0.0446464943645813,0,2016.0,"{""type"":""Point"",""coordinates"":[99.00287900205838,16.127904104256782]}"
0_000000000000000000fd,0.09025230511561062,0,2016.0,"{""type"":""Point"",""coordinates"":[101.02678470639849,19.000715630747713]}"
0_00000000000000000128,0.0873689602278659,0,2016.0,"{""type"":""Point"",""coordinates"":[99.36669705700902,18.857881705803734]}"
0_000000000000000001bc,0.2341796132631582,1,2016.0,"{""type"":""Point"",""coordinates"":[98.84118307965834,17.160065602401055]}"
0_000000000000000000b4,0.2464606685780422,0,2016.0,"{""type"":""Point"",""coordinates"":[99.47988241904864,17.928127922452898]}"
1_00000000000000000379,0.35261432898115785,0,2017.0,"{""type"":""Point"",""coordinates"":[98.58785708971102,16.586045523790972]}"
1_00000000000000000476,0.5777570632969794,1,2017.0,"{""type"":""Point"",""coordinates"":[99.20230337847163,16.750434743227302]}"
1_0000000000000000035b,0.6099312983350035,0,2017.0,"{""type"":""Point"",""coordinates"":[99.94072159472017,18.084432791679333]}"
1_00000000000000000273,0.655430995083964,0,2017.0,"{""type"":""Point"",""coordinates"":[99.02174099951445,17.973940726676]}"
1_000000000000000002d8,0.8397107352442502,0,2017.0,"{""type"":""Point"",""coordinates"":[99.3154931996123,19.80919970184904]}"
1_00000000000000000432,0.5341086342583587,1,2017.0,"{""type"":""Point"",""coordinates"":[98.67139834794733,17.69636168609899]}"
1_00000000000000000492,0.8180163949588874,1,2017.0,"{""type"":""Point"",""coordinates"":[98.49084042809119,19.313329828301647]}"
1_00000000000000000386,0.8559952305253603,1,2017.0,"{""type"":""Point"",""coordinates"":[98.95436844169794,17.106168447968052]}"
1_0000000000000000026a,0.14620305199765818,0,2017.0,"{""type"":""Point"",""coordinates"":[99.0594739126287,17.87961736209246]}"
1_000000000000000003f2,0.8515554280709483,1,2017.0,"{""type"":""Point"",""coordinates"":[97.99497055454378,19.173193659495]}"
1_000000000000000003da,0.6469865472166236,1,2017.0,"{""type"":""Point"",""coordinates"":[98.89238693705504,17.664024285259398]}"
1_00000000000000000491,0.8780391484451795,1,2017.0,"{""type"":""Point"",""coordinates"":[99.06486050670127,17.461902152708802]}"
1_00000000000000000395,0.7141960476999405,1,2017.0,"{""type"":""Point"",""coordinates"":[100.41503171467414,19.108514398714764]}"
1_00000000000000000414,0.692098671485199,1,2017.0,"{""type"":""Point"",""coordinates"":[98.88430258684514,19.04922619110815]}"
1_00000000000000000271,0.10725165446850168,0,2017.0,"{""type"":""Point"",""coordinates"":[98.87891153367154,17.976638482813332]}"
1_000000000000000002ad,0.1131029736136195,0,2017.0,"{""type"":""Point"",""coordinates"":[100.78962741687099,19.116598748924666]}"
1_000000000000000002da,0.4468980111259037,0,2017.0,"{""type"":""Point"",""coordinates"":[99.43946066799917,18.229960013659593]}"
1_00000000000000000320,0.4760541159043363,0,2017.0,"{""type"":""Point"",""coordinates"":[99.83561612378939,19.14085179955435]}"
1_00000000000000000339,0.07589845745136356,0,2017.0,"{""type"":""Point"",""coordinates"":[98.79536581633415,18.604560174957474]}"
1_0000000000000000035a,0.17854908572396327,0,2017.0,"{""type"":""Point"",""coordinates"":[100.24255368592688,18.20840026006618]}"
1_0000000000000000035d,0.41250398724181375,0,2017.0,"{""type"":""Point"",""coordinates"":[99.01365664930455,17.701752739272607]}"
1_000000000000000003d8,0.3984105002487049,1,2017.0,"{""type"":""Point"",""coordinates"":[99.15379727721226,17.480764150164884]}"
1_000000000000000003b3,0.8987009275986638,1,2017.0,"{""type"":""Point"",""coordinates"":[98.39921036054392,18.294639274439827]}"
1_00000000000000000266,0.35998339405057767,0,2017.0,"{""type"":""Point"",""coordinates"":[99.73859946216957,19.512754204714902]}"
1_00000000000000000293,0.43071297309800755,0,2017.0,"{""type"":""Point"",""coordinates"":[99.83561612378939,19.415737543095084]}"
1_0000000000000000046b,0.816184365569817,1,2017.0,"{""type"":""Point"",""coordinates"":[98.641754244144,16.70192864196792]}"
1_000000000000000002a7,0.8780622470514833,0,2017.0,"{""type"":""Point"",""coordinates"":[98.66062070070114,17.591260674269275]}"
1_0000000000000000035e,0.5885706410687668,0,2017.0,"{""type"":""Point"",""coordinates"":[97.97879739502294,19.507367610642337]}"
1_0000000000000000047e,0.644537808491652,1,2017.0,"{""type"":""Point"",""coordinates"":[98.84926742986822,17.57239421771214]}"
1_00000000000000000306,0.8246354256872684,0,2017.0,"{""type"":""Point"",""coordinates"":[99.20769443164525,18.38087828881347]}"
1_00000000000000000419,0.49835410730903135,1,2017.0,"{""type"":""Point"",""coordinates"":[98.25637643559995,19.03575078772464]}"
1_0000000000000000029b,0.6538746440581261,0,2017.0,"{""type"":""Point"",""coordinates"":[98.74955301211106,18.685408136157506]}"
1_000000000000000003cb,0.7522084612527284,1,2017.0,"{""type"":""Point"",""coordinates"":[97.90064718996024,19.146242852727973]}"
1_000000000000000003ef,0.920660501121936,1,2017.0,"{""type"":""Point"",""coordinates"":[97.71738705486572,18.415913445790398]}"
1_00000000000000000409,0.6585426944465322,1,2017.0,"{""type"":""Point"",""coordinates"":[98.2887182955406,19.19205565695108]}"
1_00000000000000000429,0.5943386362185031,1,2017.0,"{""type"":""Point"",""coordinates"":[99.10798001388811,18.343149834800258]}"
1_00000000000000000391,0.933279460723028,1,2017.0,"{""type"":""Point"",""coordinates"":[99.17265927466832,17.39183183875496]}"
1_000000000000000003c4,0.8812466045614731,1,2017.0,"{""type"":""Point"",""coordinates"":[98.75494406528468,18.081739494643053]}"
1_000000000000000003ee,0.8854991789419668,1,2017.0,"{""type"":""Point"",""coordinates"":[98.57977273950112,17.618207021935245]}"
1_000000000000000003e0,0.34618940640573875,1,2017.0,"{""type"":""Point"",""coordinates"":[100.74920120672043,19.27560137428844]}"
1_0000000000000000044f,0.7154868713487806,1,2017.0,"{""type"":""Point"",""coordinates"":[98.7818948720517,17.806853751102327]}"
1_00000000000000000416,0.6734969721383068,1,2017.0,"{""type"":""Point"",""coordinates"":[99.07025155987489,18.294639274439824]}"
1_00000000000000000335,0.564717864925235,0,2017.0,"{""type"":""Point"",""coordinates"":[98.71721561127147,18.59647582474758]}"
1_00000000000000000471,0.809061884470018,1,2017.0,"{""type"":""Point"",""coordinates"":[98.88430258684514,16.203361012283185]}"
1_0000000000000000043b,0.471197300676537,1,2017.0,"{""type"":""Point"",""coordinates"":[99.05408285945511,16.86092680823064]}"
1_00000000000000000463,0.5297814209488944,1,2017.0,"{""type"":""Point"",""coordinates"":[99.28045804263537,18.221875663449694]}"
