system:index,EVI,HHpalsarLdiffWetDry,NDMI,NDWI,PDSI,Removed,VPD,aspect,canopyCover,canopyCoverChange,canopyHeightChange,distanceBambooForest,distanceBurn1yrBefore,distanceBurn2yrBefore,distanceDryDipterocarpForest,distanceDryEvergreenForest,distanceEucalyptusPlantation,distanceHillEvergreenForest,distanceMaize,distanceMixedDeciduousForest,distanceOldClearing,distancePineForest,distanceProtectedArea,distanceRice,distanceRoads,distanceSPKKTC,distanceSecondaryGrowthForest,distanceSettlements,distanceSugarcane,distanceTeakPlantation,distanceWater,elevation,flameLength,fuelLoad,grassHeight,litterCover,litterDepth,populationCount,precipitation,rateOfSpread,slope,soilMoisture,temperatureMax,.geo
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000000,2.924037035234612,2.956919613959722,2.855892229139964,2.908963294763924,2.978289485244273,canopyHeightChange,2.862664508303853,3.0432462450667104,2.743742378961698,1.9978628482855125,,2.9945274486618536,2.5107999583268934,2.418754143706784,2.5757549571293863,2.9447314781142886,2.853321540612812,2.710757936381387,2.44474490695132,1.3540079031650487,2.7575275404400132,2.853101298735701,0.5312821789990619,2.5761629976792624,2.7535206014821636,2.819510627735307,2.868063145695118,2.8754553876200832,2.8192210838623546,2.8336669241566472,2.8292200059600963,2.8827923113617753,1.8441691048667674,1.5038461330343593,0.8737177477644944,1.5672570107291555,0.9569915253769048,0.3821557896395123,2.879190664987097,1.8945525729031858,2.863257789517518,2.871055728118666,2.885263917324714,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000000,2.982853801594762,,2.8734525876596893,2.8979391308862743,2.993877700962393,HHpalsarLdiffWetDry,2.952180969798903,3.055420470676887,2.7160061537729923,1.9964616105471265,1.0627754113970842,2.974974279260461,2.524660138658238,2.539301766373509,2.7686710472059617,2.960200721299083,3.011230178876893,2.793297001033802,2.4695950663077153,1.4171183781503467,2.959555011829928,2.8650960083990897,0.529663389255352,2.4399861659382704,2.8077211135102296,2.8400516594675396,2.971695636757704,2.905778335005076,2.98897967399114,2.941553511108518,2.8501920398379355,2.9861265486151773,1.9054104294478529,1.5497693682164806,0.892748490318848,1.6411821162967732,1.0270122331485527,0.40327511833613355,2.913864771439043,1.877133998995774,2.9327367606227788,2.9212979386628,2.859153266336891,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000000,,2.99931283002868,2.956983757721348,2.9416726659624395,2.9936501723713267,EVI,2.9054156924821077,3.102988869775939,2.766618237765975,1.9744991606460338,1.0690849798428892,3.041116693670326,2.5681287777708555,2.4380562396830316,2.692265938745258,2.881831024123717,2.962621184384357,2.8283475276277295,2.442652561869464,1.3717258055688177,2.8024206332658155,2.9306816870870502,0.5261270648972723,2.570240893403629,2.8790694215370287,2.9144258561994105,2.999559200269361,2.8747790739944667,2.8882091454407064,2.95579636145797,2.943301926109332,2.9129922542763254,1.868823566029808,1.4689243437293777,0.904576813887518,1.620203240841362,0.9652650007557043,0.43362832142010943,2.9133810093371375,1.8735578147508025,2.950196654525259,3.0120148626971055,2.854852734047181,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000000,3.077186053754943,2.9282273270090484,,2.9539308475862467,3.0306781320245384,NDMI,2.983852941979777,3.062009500333443,2.748565280495986,1.947387341495352,1.0769530562789609,3.078810551941954,2.5871935741092753,2.4063857805918483,2.7893282922825047,2.9948968669088765,2.9068874662668214,2.8143158443192955,2.574888484821851,1.2993452173877225,2.833442157411816,2.93073627929135,0.55778540047513,2.5323767581016345,2.8686053506066505,2.94083854993268,2.944566040748513,2.983281173756022,2.8953155090816503,2.884147696370384,2.8675050239355846,2.8655671297440852,1.8546271458517243,1.5276028701940065,0.8614517239711547,1.616458727319804,0.9403355390129979,0.4087828384326257,2.935707025794019,1.822096074190982,2.916663588444131,2.967340526565565,2.7839243111790863,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000000,3.0916402233352516,3.004260799691753,2.9063344862044107,,2.994613577411795,NDWI,2.992166814730482,3.0103435161734335,2.7516784224624415,2.0466425319833603,1.0892871108090603,2.9495693135215304,2.5088284586643197,2.4742027617596203,2.732412636024975,3.0004432571726483,2.974708711377045,2.813028371086355,2.4883484195085828,1.2803881645012656,2.947867269072305,2.913967823822503,0.5027744587845503,2.518756777225088,2.8301286476730927,2.9383466120712805,2.955928501219818,2.908683744242891,2.9494242969995845,2.91474633140663,2.913223883730273,2.93738825890815,1.813446375035927,1.4262129323708057,0.8471174837582734,1.5623132174729342,0.9812915928147781,0.42324487159336394,2.8982883837509243,1.8839689374048494,2.9451755131777326,2.968573285756572,2.910233225289362,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000000,3.0166332038391097,3.0426446339991435,2.890304734377486,2.9582086669502905,3.0273844400381575,populationCount,2.8962547862234125,2.966425044617489,2.656123955171958,1.926830061753405,1.024011273930309,2.901628348277241,2.516790112513689,2.476554169311205,2.6882218423518314,2.8756319638683756,2.905152002110038,2.7568053316683807,2.501790846064932,1.3128673751381768,2.7668462036210784,2.7424093715192495,0.498846331805975,2.4624899353411513,2.8404299350561084,2.727863256618383,2.8094513150944675,2.871468867057748,2.8685996436215944,2.8337024749494923,2.8448960029582016,2.8235949067477475,1.7600915725198905,1.4007550334853212,0.8260823693825078,1.4955328570985078,0.9401937615816295,,2.8390284934700367,1.7723388984755144,2.863971873396072,2.8616411526496965,2.8095029513449976,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000000,2.965018504959139,2.98466775889019,2.9095448564548545,2.992850583332277,3.0640027762808453,distanceDryEvergreenForest,2.92785882366361,2.999783307190482,2.747696860053823,1.9784817224548616,1.07801444226452,2.9930237127867803,2.628741385946009,2.495409627338281,2.7756680900038244,,2.9058576616161935,2.7448934273993166,2.537991832587551,1.334578998118019,2.873088231015258,2.8195790200047584,0.5041874474173013,2.6371964606427887,2.8621822375483212,2.881169997724831,2.8786329138536346,2.833482976523993,3.0630675210332603,2.935158189872799,2.815725930016775,2.9077286421856843,1.817246160155044,1.4446644418147714,0.9287030140320061,1.5870406518990938,0.9589363549639479,0.37752387572993995,3.001839034989957,1.9317657534211947,2.90388945503491,3.0118717941903594,2.961235524588795,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000000,2.918714749353802,3.008803656020008,2.8043768863142184,2.8852794215214623,2.9272997552873044,distanceHillEvergreenForest,2.9876083042701578,3.0416779835988517,2.593987397004927,2.0286467615808275,1.0541949366481251,2.9883736578752527,2.524992530019158,2.4728544310257705,2.8025781052974965,2.840814686684325,2.9973286345881895,,2.470438412774064,1.3936164538532685,2.899919346597202,2.997738189177363,0.5369674750008064,2.579672618932738,2.8746495386505053,2.8680249454936324,2.911597478451785,2.861345683662016,2.9306768016674667,2.938198130795445,2.9819822310307194,2.989837050307752,1.9533980323769873,1.4721004150301662,0.8380829361488347,1.5645358827470788,0.9774011724372064,0.4014813995966616,3.0457536724197527,1.7842569804419286,2.9554807190674777,3.014930163342654,2.8803823729065727,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000000,2.983178415743055,3.0447329063043425,2.884095947485751,2.9594488558201437,2.929176936185558,distancePineForest,2.967384510936448,3.087569989458221,2.6974509002035503,1.9954854939307067,1.0483571222024832,3.0857596649618224,2.53938146177296,2.373658093792675,2.687032174851614,2.8612161554972118,2.9146742536023087,2.8183863838210548,2.562283870165868,1.4288218323315942,2.8941720087350995,,0.5192721428755416,2.4804327232513517,2.852075558525411,2.912929001322319,2.8975726929396264,2.9757578317048536,2.9875232398072544,2.971801695513308,2.8670611748133368,2.982950273381398,1.8389454881825176,1.5169405233613455,0.8326313488432232,1.651661075943409,0.9887700693833116,0.38672913892800154,2.9320016502328183,1.79197187446531,2.969755980826489,3.0154076438374733,2.8655418940592443,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000000,2.937893568451358,2.9827443702973735,2.883796366393937,2.8589758700206733,3.035159163154834,distanceMixedDeciduousForest,2.876554617344163,2.964134871874151,2.686231730423302,2.0058626206783927,1.0412859345817829,2.913026359959862,2.5053031962909595,2.4270861185269266,2.737897431503973,2.8054706373772116,2.810297386636969,2.7779074044583156,2.5358018197429018,,2.8249023122672985,2.865896109490726,0.5226503027468148,2.6167239856883167,2.7127714186846226,2.839994560140384,2.9414713649780038,2.9078443007222914,2.9000474919428436,2.855375345540912,2.8021946748395448,2.8803700571288027,1.724074767705808,1.5186653295501091,0.9324889590238626,1.565119225470891,0.9571167383152525,0.3972427057194568,2.936808978653015,1.811791939540502,2.9794858441111325,2.8803853267058197,2.8411487933164894,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
